407,294,283,323,393,-5.49,4.74,94.90
407,294,282,323,394,-5.54,4.70,95.42
407,294,282,323,395,-5.57,4.58,95.83
407,294,282,324,395,-5.59,4.54,96.19
407,294,282,324,396,-5.49,4.54,96.40
407,294,282,324,396,-5.48,4.53,96.44
407,294,282,323,396,-5.46,4.52,96.49
407,294,282,324,396,-5.35,4.57,96.56
408,294,282,323,396,-5.18,4.68,96.58
409,294,282,324,397,-5.14,4.75,96.76
411,294,282,324,397,-5.28,4.72,97.11
411,294,282,323,397,-5.27,4.67,97.39
412,294,282,323,397,-5.35,4.66,97.61
411,295,283,324,398,-5.44,4.73,97.77
412,295,283,323,398,-5.37,4.70,97.85
413,294,282,324,398,-5.49,4.64,97.89
413,295,283,324,399,-5.54,4.55,97.92
413,295,283,323,400,-5.55,4.56,97.93
413,295,283,324,400,-5.48,4.55,97.94
413,294,283,323,400,-5.51,4.34,97.32
413,295,283,324,400,-5.48,4.16,96.68
413,295,283,324,400,-5.44,4.06,96.19
413,295,283,324,401,-5.37,4.04,95.80
413,295,283,324,401,-5.39,4.08,95.46
413,295,283,323,401,-5.27,4.26,95.84
413,295,283,324,401,-5.27,4.32,96.13
413,295,283,323,401,-5.34,4.44,96.34
414,295,283,324,402,-5.39,4.49,96.50
415,295,283,324,402,-5.52,4.51,96.62
416,295,283,324,402,-5.56,4.52,96.71
417,295,283,324,402,-5.70,4.45,96.77
417,295,283,324,402,-5.62,4.37,96.83
417,295,283,324,403,-5.51,4.49,96.91
416,295,283,324,404,-5.34,4.44,96.95
416,296,283,324,404,-5.47,4.26,97.02
416,295,284,324,404,-5.53,4.20,97.10
416,296,283,324,405,-5.45,4.26,97.18
417,296,284,324,407,-5.43,4.20,97.20
419,297,285,324,407,-5.60,4.01,97.28
420,297,285,324,408,-5.60,4.04,97.63
421,298,285,324,410,-5.43,4.14,97.90
422,300,287,325,415,-5.42,4.08,98.10
440,307,293,326,437,-5.27,3.89,98.33
485,315,301,330,456,-5.09,3.13,98.06
549,331,315,332,454,-4.91,2.26,97.30
612,358,337,333,441,-4.65,1.02,96.69
656,383,361,339,434,-5.08,-0.03,96.34
677,406,382,343,428,-5.12,-0.47,96.24
701,429,404,350,430,-4.29,-0.70,94.35
724,449,425,362,444,-4.77,-1.14,90.39
746,461,438,373,460,-5.13,-1.40,87.32
767,485,459,388,473,-4.19,-1.49,84.89
768,522,492,420,488,-4.06,-1.89,82.74
768,563,530,471,541,-4.07,-2.84,81.90
768,614,577,572,656,-3.57,-3.77,81.80
768,682,639,723,770,-2.84,-4.64,81.64
768,746,702,767,770,-2.48,-5.29,81.37
768,768,732,767,769,-2.45,-6.79,81.32
768,768,739,767,770,-2.72,-7.60,81.46
768,767,741,767,770,-1.54,-7.21,81.54
768,748,726,767,770,-2.01,-5.97,81.77
768,708,694,767,770,-1.22,-5.22,81.82
768,682,668,767,769,-1.01,-4.44,81.83
768,672,654,767,770,-1.22,-3.63,81.48
768,670,649,767,770,-1.21,-2.82,81.27
768,659,640,767,770,-0.21,-2.47,81.14
767,652,633,767,770,-0.29,-2.01,81.20
768,648,627,767,770,-0.03,-1.43,81.40
768,639,620,767,770,0.41,-1.54,81.96
768,636,616,767,770,0.51,-2.07,82.37
768,630,611,767,770,-0.11,-2.50,82.73
768,627,607,767,770,-0.81,-2.05,83.06
768,624,604,767,770,-0.80,-2.11,83.10
768,622,602,767,770,-1.18,-2.32,82.98
768,619,598,767,770,-1.50,-2.20,82.90
768,616,596,767,770,-1.50,-1.70,82.73
768,615,593,767,770,-1.12,-1.45,82.56
768,611,590,767,770,-1.03,-1.35,82.36
768,608,588,767,770,-0.88,-1.18,82.20
768,607,585,767,770,-0.79,-1.07,82.03
768,606,585,767,770,-0.87,-1.05,81.90
767,606,584,767,770,-0.88,-1.00,81.83
768,603,582,767,770,-0.90,-1.11,81.63
768,600,580,767,770,-1.17,-1.18,81.43
768,598,579,767,770,-1.25,-1.07,81.25
767,598,577,767,769,-1.31,-0.95,81.09
767,598,577,767,769,-1.19,-1.05,80.96
768,594,574,767,770,-1.11,-0.99,81.03
768,589,570,767,770,-1.08,-0.79,81.11
768,588,567,767,770,-0.96,-0.63,81.16
768,588,567,767,769,-0.89,-0.76,81.19
767,587,566,767,769,-0.90,-0.86,81.24
768,584,565,767,770,-0.81,-0.87,81.47
768,583,563,767,770,-0.86,-0.81,81.78
768,582,563,767,770,-0.99,-0.85,82.00
767,584,563,767,769,-1.18,-0.87,82.18
767,586,565,767,770,-1.23,-0.77,82.31
768,588,567,767,770,-1.30,-0.67,82.35
768,584,563,767,770,-1.47,-0.38,82.35
768,580,560,767,770,-1.32,-0.36,82.31
